year,week,challenge,song name,author,premium+,type
2017,50,peaceful christmas,-,-,FALSE,song
2017,49,surf and twang,-,-,FALSE,song
2017,48,finland 100 years,-,-,FALSE,song
2017,47,one for malcolm,-,-,FALSE,song
2017,46,flutes rock,-,-,FALSE,song
2017,45,magic mandolins,-,-,FALSE,song
2017,44,a night at the opera,-,-,FALSE,song
2017,43,the halloween,-,-,FALSE,song
2017,42,the leah harris,-,-,FALSE,song
2017,41,one for petty,-,-,FALSE,song
2017,40,80's power ballads,-,-,FALSE,song
2017,39,balkan bounce,-,-,FALSE,song
2017,38,at the movies pt. 3,-,-,FALSE,song
2017,37,cosmic blues feat. noora louhimo,-,-,FALSE,song
2017,36,calm classical,-,-,FALSE,song
2017,35,country roads,-,-,FALSE,song
2017,34,echoes walls and mad jewels,-,-,FALSE,song
2017,33,the dance of the knights,-,-,FALSE,song
2017,32,one for chester,-,-,FALSE,song
2017,31,rocky road to dublin,-,-,FALSE,song
2017,30,the life and times of todd,-,-,FALSE,song
2017,29,four flat tires on a muddy road,-,-,FALSE,song
2017,28,painting the sky,-,-,FALSE,song
2017,27,spandex nightmares,-,-,FALSE,song
2017,26,sir uke,-,-,FALSE,song
2017,25,summer madness,-,-,FALSE,song
2017,24,baroque hits,-,-,FALSE,song
2017,23,from dublin with love,-,-,FALSE,song
2017,22,into the battle,-,-,FALSE,song
2017,21,one for cornell,-,-,FALSE,song
2017,20,common life & miracles,-,-,FALSE,song
2017,19,challenging visions,-,-,FALSE,song
2017,18,in the court of the weekly challenge,-,-,FALSE,song
2017,17,challenge in a bottle,-,-,FALSE,song
2017,16,the return of the chiptunes,-,-,FALSE,song
2017,15,get funky,-,-,FALSE,song
2017,14,lonely hearts,-,-,FALSE,song
2017,13,duckwalk avenue,-,-,FALSE,song
2017,12,dawn to dusk - classical adaptations,-,-,FALSE,song
2017,11,burning balalaikas,-,-,FALSE,song
2017,10,rock explosion,-,-,FALSE,song
2017,9,sunday morning jazz breakfast,-,-,FALSE,song
2017,8,dark hounds & white whales,-,-,FALSE,song
2017,7,dub til you drop,-,-,FALSE,song
2017,6,corazon bailando - songs from the barrio,-,-,FALSE,song
2017,5,metal mania,-,-,FALSE,song
2017,4,bluegrass fever,-,-,FALSE,song
2017,3,the return of the disco daddy,-,-,FALSE,song
2017,2,italia - tarantella & tagliatelle,-,-,FALSE,song
2017,1,delicate moods - raindrops & romance,-,-,FALSE,song
2016,52,future city sounds - back by popular demand,-,-,FALSE,song
2016,51,from santa with love,-,-,FALSE,song
2016,50,peaceful christmas classics,-,-,FALSE,song
2016,49,rough it up - raw sounds and blistered fingers,-,-,FALSE,song
2016,48,the big bad big band boogie,-,-,FALSE,song
2016,47,slow jamz - kick it with some r'n'b,-,-,FALSE,song
2016,46,the supermassive supermoon,-,-,FALSE,song
2016,45,restless boots - odes to the country roads,-,-,FALSE,song
2016,44,west africa - earthy rhythms from senegal & mali,-,-,FALSE,song
2016,43,the return of the pumpkins,-,-,FALSE,song
2016,42,helsinki bachata - feat. joaquin luis,-,-,FALSE,song
2016,41,mozart modernized - eine kleine blastmusik,-,-,FALSE,song
2016,40,alternative adventures - battle for a week rule for a lifetime,-,-,FALSE,song
2016,39,follow me - rek along with two indie pop tunes,-,-,FALSE,song
2016,38,cumbia party - come out and dance,-,-,FALSE,song
2016,37,tales from the dark caves - where the bleak ballads grow,-,-,FALSE,song
2016,36,bring on the riddim feat. puppa j.,-,-,FALSE,song
2016,35,klezmer klassiks - dance till you drop,-,-,FALSE,song
2016,34,solely you - sha-la-la into the 50's,-,-,FALSE,song
2016,33,fiesta mexicana - spicy hot evergreens,-,-,FALSE,song
2016,32,surfin' - catch the wave,-,-,FALSE,song
2016,31,french impressions - maurice ravel,-,-,FALSE,song
2016,30,wicked rhythms - grooves with a twist,-,-,FALSE,song
2016,29,feelin' good - uplifting pop hits,-,-,FALSE,song
2016,28,the summer of love - peace & harmony,-,-,FALSE,song
2016,27,classic rock - the challenge goes to 11,-,-,FALSE,song
2016,26,songs of the midnight sun - finnish folk tunes,-,-,FALSE,song
2016,25,feel the beat - afro-funk grooves,-,-,FALSE,song
2016,24,adrenaline rush - high energy rock songs,-,-,FALSE,song
2016,23,grandfathers of loud - epic orchestral classics,-,-,FALSE,song
2016,22,light your fire - inspired by classic psychedelic rock,-,-,FALSE,song
2016,21,space mammoths - breaking boundaries with utopianisti,-,-,FALSE,song
2016,20,the ol' dirt road - folk favorites,-,-,FALSE,song
2016,19,pump up the volume - 90's pop beats,-,-,FALSE,song
2016,18,summer nights - sing along under the stars,-,-,FALSE,song
2016,17,chill out - peaceful sunset moods,-,-,FALSE,song
2016,16,it's complicated - songs about relationships,-,-,FALSE,song
2016,15,rock 'n' roll,-,-,FALSE,song
2016,14,swingin',-,-,FALSE,song
2016,13,sing-along waltzes,-,-,FALSE,song
2016,12,at the ballet with tchaikovsky,-,-,FALSE,song
2016,11,balkan grooves,-,-,FALSE,song
2016,10,sabor cubano,-,-,FALSE,song
2016,9,classical picks for the stage,-,-,FALSE,song
2016,8,the rob scallon challenge,-,-,FALSE,song
2016,7,wishing in the night,-,-,FALSE,song
2016,6,happy valentine's day,-,-,FALSE,song
2016,5,the ragtime challenge,-,-,FALSE,song
2016,4,lazing on the caribbean,-,-,FALSE,song
2016,3,one for bowie,-,-,FALSE,song
2016,2,one for lemmy,-,-,FALSE,song
2016,1,power thru - the power metal challenge,-,-,FALSE,song
2015,53,groovin' into 2016!,-,-,FALSE,song
2015,52,happy holidays,-,-,FALSE,song
2015,51,showed in - warm up for the holidays,-,-,FALSE,song
2015,50,argentine tango - celebrating the 125th birthday of carlos gardel,-,-,FALSE,song
2015,49,the jazzy holidays,-,-,FALSE,song
2015,48,the chanson,-,-,FALSE,song
2015,47,the nova bossa,-,-,FALSE,song
2015,46,the pop star - the sequel,-,-,FALSE,song
2015,45,the pop star pt. 1,-,-,FALSE,song
2015,44,the halloween,-,-,FALSE,song
2015,43,meet the liverpool,-,-,FALSE,song
2015,42,super chiptunes,-,-,FALSE,song
2015,41,big vintage rock,-,-,FALSE,song
2015,40,rockabilly rumble,-,-,FALSE,song
2015,39,celtic classics,-,-,FALSE,song
2015,38,playing for change,-,-,FALSE,song
2015,37,smells like grunge spirit - the grunge challenge,-,-,FALSE,song
2015,36,india - ragas tablas and masala,-,-,FALSE,song
2015,35,"skate punk party - ollies, fakies and rock'n'roll",-,-,FALSE,song
2015,34,at the movies part 2 - the challenge returns,-,-,FALSE,song
2015,33,bluegrass - the grass is always bluer on the banjo side,-,-,FALSE,song
2015,32,dance through the 90's,-,-,FALSE,song
2015,31,at the movies - popcorn & power chords,-,-,FALSE,song
2015,30,reggae party - tune up stand up,-,-,FALSE,song
2015,29,soul - strum rattle & roll,-,-,FALSE,song
2015,28,kung fu challenge - riffs of fury,-,-,FALSE,song
2015,27,groove metal - vulgar display of skills,-,-,FALSE,song
2015,26,steampunk challenge - songs of future past,-,-,FALSE,song
2015,25,"the singer-song-writer - just you, your feelings and your guitar",-,-,FALSE,song
2015,24,the challenge of doom,-,-,FALSE,song
2015,23,electro swing,-,-,FALSE,song
2015,22,barock - powder your wigs and practice your licks,-,-,FALSE,song
2015,21,drivin' - songs for the road,-,-,FALSE,song
2015,20,fusion - are you a musical chameleon?,-,-,FALSE,song
2015,19,flamenco challenge - fire and passion on the fretboard,-,-,FALSE,song
2015,18,nordic folk - two songs of ice and steel,-,-,FALSE,song
2015,17,ska - can you play the heavy heavy monster sound?,-,-,FALSE,song
2015,16,get experienced - but don't play with your teeth,-,-,FALSE,song
2015,15,blues form workout - blues beyond three chords,-,-,FALSE,song
2015,14,prog metal - try to wrap your head around,-,-,FALSE,song
2015,13,earth hour - take a candlelight moment with your guitar,-,-,FALSE,song
2015,12,j.s. bach goes metal,-,-,FALSE,song
2015,11,attitude rock,-,-,FALSE,song
2015,10,sound of the future - today - time to boldly take the 2050's challenge...,-,-,FALSE,song
